"Logout","Logout"
"Upload","Upload"
"Error","Error"
"Your SX cluster is down for maintenance, please try again later or contact your system administrator.","Your SX cluster is down for maintenance, please try again later or contact your system administrator."
"SXWeb - An error occurred!","SXWeb - An error occurred!"
"Ops!","Ops!"
"Application encountered an internal error. Please check the configuration.","Application encountered an internal error. Please check the configuration."
"Parent directory","Parent directory"
"Rename","Rename"
"Copy","Copy"
"Move","Move"
"Delete","Delete"
"Download","Download"
"Create Link","Create Link"
"No files found.","No files found."
"First","First"
"&lt; Previous","&lt; Previous"
"Next &gt;","Next &gt;"
"Last","Last"
"Manage your account","Manage your account"
"My Account","My Account"
"Login","Login"
"Username","Username"
"Tech Support","Tech Support"
"Search...","Search..."
"Bulk Actions","Bulk Actions"
"New Folder","New Folder"
"Name","Name"
"Size","Size"
"Date","Date"
"Password required!","Password required!"
"The volume you are trying to access is encrypted. Please provide the password.","The volume you are trying to access is encrypted. Please provide the password."
"Unlock volume!","Unlock volume!"
"Password","Password"
"Remember me","Remember me"
"Forgot Your Password?","Forgot Your Password?"
"Sign in","Sign in"
"No volumes found.!","No volumes found.!"
"Please ask the administrators to add at least one volume to your account.","Please ask the administrators to add at least one volume to your account."
"Reset password","Reset password"
"Enter your email. You will receive a link to follow to reset your password.","Enter your email. You will receive a link to follow to reset your password."
"Email address","Email address"
"Welcome to SXWeb!","Welcome to SXWeb!"
"This web interface safely stores your data in the <b>Skylable S<sup>X</sup></b> cluster running at %s.","This web interface safely stores your data in the <b>Skylable S<sup>X</sup></b> cluster running at %s."
"You can access your data anywhere, anytime using this web interface or one of the following applications:","You can access your data anywhere, anytime using this web interface or one of the following applications:"
"Do not display again","Do not display again"
"Great, thanks!","Great, thanks!"
"Name:","Name:"
"Link to the shared file:","Link to the shared file:"
"There are errors!","There are errors!"
"File: <span>%s</span>","File: <span>%s</span>"
"Password (Leave empty if none. Max allowed length is %d characters.)","Password (Leave empty if none. Max allowed length is %d characters.)"
"Expire Time (in hours)","Expire Time (in hours)"
