"Logout","Esci"
"Upload","Upload"
"Error","Errore"
"Your SX cluster is down for maintenance, please try again later or contact your system administrator.","SX Cluster non è raggiungibile per manutenzione, riprova più tardi o contatta l'amministratore di sistema."
"SXWeb - An error occurred!","SXWeb – Si è verificato un errore"
"Ops!","Ops!"
"Application encountered an internal error. Please check the configuration.","Errore nell'applicazione. Per favore controlla la configurazione."
"Parent directory","Directory superiore"
"Rename","Rinomina"
"Copy","Copia"
"Move","Sposta"
"Delete","Elimina"
"Download","Scarica"
"Create Link","Condividi file"
"No files found.","Non sono stati trovati file."
"First","Inizio"
"&lt; Previous","&lt; Indietro"
"Next &gt;","Prossimo &gt;"
"Last","Fine"
"Manage your account","Gestione profilo"
"My Account","Profilo personale"
"Login","Login"
"Username","Nome utente"
"Tech Support","Supporto tecnico"
"Search...","Cerca..."
"Bulk Actions","Azioni multiple"
"New Folder","Nuova directory"
"Name","Nome"
"Size","Dimensione"
"Date","Data"
"Password required!","Password richiesta!"
"The volume you are trying to access is encrypted. Please provide the password.","Il volume al quale stai cercando di accedere è criptato. Per favore inserisci la password."
"Unlock volume!","Sblocca il volume"
"Password","Password"
"Remember me","Ricordami"
"Forgot Your Password?","Password dimenticata?"
"Sign in","Entra"
"No volumes found!","Nessun volume trovato!"
"Please ask the administrators to add at least one volume to your account.","Per favore chiedi al tuo amministratore di sistema di darti accesso almeno ad un volume."
"Reset password","Reimposta password"
"Enter your email. You will receive a link to follow to reset your password.","Inserisci la tua email. Riceverai un link per reimpostare la tua password."
"Email address","Indirizzo E-mail"
"Welcome to SXWeb!","Benvenuto in SXWeb!"
"This web interface safely stores your data in the <b>Skylable S<sup>X</sup></b> cluster running at %s.","Questa interfaccia web utilizza il cluster <b>Skylable S<sup>X</sup></b> raggiungibile su %s."
"You can access your data anywhere, anytime using this web interface or one of the following applications:","Puoi accedere ai tuoi dati ovunque ti trovi, in qualunque momento usando questa interfaccia web o una delle seguenti applicazioni:"
"Do not display again","Non mostrarlo più"
"Great, thanks!","Fantastico, grazie!"
"Name:","Nome:"
"Link to the shared file:","Link al file condiviso:"
"There are errors!","Ci sono degli errori!"
"File: <span>%s</span>","File: <span>%s</span>"
"Password (Leave empty if none. Max allowed length is %d characters.)","Password (Lascia il campo vuoto per non richiedere alcuna password. Sono consentiti al massimo %d caratteri.)"
"Expire Time:","Tempo di vita del link:"
"One Day","Un giorno"
"One Week","Una settimana"
"Two Weeks","Due settimane"
"One Month","Un mese"
"Never Expire","Non scade mai"
"Are you sure you want to share the file?","Sei sicuro di voler condividere il file?"
"Downloading...","Scaricamento in corso…"
"Download will start in","Lo scaricamento inizierà in"
"Please enter the password to download the file: <b>%s</b>","Inserisci la password per lo scaricamento del file: <b>%s</b>"
"Start downloading file: <b>%s</b> ?","Inizia lo scaricamento del file: <b>%s</b> ?"
"Download now!","Scarica adesso!"
"From:","Da:"
"To:","A:"
"Parent directory","Directory superiore"
"Remove account?","Cancella il mio account?"
"Are you sure you want to remove your account?","Sei sicuro di voler cancellare il tuo account?"
"Beware! This operation cannot be undone!","Attenzione! Questa operazione non può essere annullata!"
"Name","Nome"
"Actions","Azioni"
"Nothing found.","Nessun risultato."
"Download the file","Scarica il file"
"Download","Scarica"
"Open folder: %s","Apri la cartella: %s"
"Open folder","Apri la cartella"
"Manage Account","Gestione profilo"
"Account info successfully updated.","Informazioni sull'account aggiornate con successo."
"Change your login password here.","Cambia la tua password."
"New Password","Nuova password"
"Confirm Password","Conferma password"
"Delete Account","Cancella profilo"
"Delete my account","Cancella il mio profilo"
"My Account","Mio profilo"
"Connect with SXDrive","Connetti con SXDrive"
"Change preferences for your account","Cambia le preferenze per il tuo profilo"
"SXWeb Preferences","Preferenze SXWeb"
"Change your password or delete your account","Cambia la tua password o cancella il tuo profilo"
"Manage account","Gestione profilo"
"SXWeb Preferences","Preferenze di SXWeb"
"File list size:","Dimensione pagina:"
"File list size","Dimensione pagina"
"Save!","Salva!"
"Clear cache","Pulisci cache"
"Currently not implemented.","Funzione non disponibile."
